Prov,,Company name,Company Twitter,,Company Twitter,"Nb. of 
Employees",What do they do (Verbatim - 10 words max.)  ,Link to website,HQ City,HQ Country,CEO name,CEO Twitter,,CEO's Twitter,Link to jobpage
Legacy,Old,AgileBits  ,1Password,twitter.com/,twitter.com/1Password,11-50,Put Passwords In Their Place,https://agilebits.com/,Canada,Canada,Jeff Shiner,jeffreyshiner,twitter.com/,twitter.com/jeffreyshiner,https://angel.co/agilebits/jobs
Legacy,Old,Aha! ,aha_io,twitter.com/,twitter.com/aha_io,11-50,Aha! is roadmapping software for PMs who want their mojo back,http://www.aha.io/,"Menlo Park, CA",USA,Brian de Haaff,bdehaaff,twitter.com/,twitter.com/bdehaaff,http://www.aha.io/company/careers
,New,AI Incube,,,twitter.com/parknav,1-10,Solve parking problems,https://parknav.com/,"Chicago, IL",USA,Eyal Amir,,,twitter.com/optimistfwd,
Lukasz,Old,AirTreks,airtreks,twitter.com/,twitter.com/airtreks,11-50,Multi-stop international flight planner with a distributed team.,https://www.airtreks.com/about/,,USA,Riel Manriquez,,,https://twitter.com/rielman,https://www.airtreks.com/support/
Legacy,Old,Alaris Prime,alarisprime,twitter.com/,twitter.com/alarisprime,1-10,"Web, Mobile Designs, Frontend Engineering",https://alarisprime.com/,Bangalore,India,,,,,https://angel.co/alarisprime/jobs
Legacy,Old,Alegion,alegion,twitter.com/,twitter.com/alegion,1-10,Crowdsourcing platform ,https://alegion.com,"Austin, TX",USA,Joel Simpson,JoelRSimpson,twitter.com/,twitter.com/JoelRSimpson,
,Old,Alley interactive,,,twitter.com/alleyco,11-50,Crafting custom digital experiences,https://alley.co,"New York, NY",USA,Austin Smith,,,twitter.com/netaustin,
Legacy,Old,AltSchool,altschool,twitter.com/,twitter.com/altschool,51-200,AltSchool is a venture-backed educational startup headquartered in San Francisco,https://www.altschool.com/,"San Francisco, CA",USA,Max Ventilla,ventilla,twitter.com/,twitter.com/ventilla,https://www.altschool.com/jobs
,Old,Amazee,,,twitter.com/amazeeio,51-200,Drupal hosting Platform as a Service ,https://www.amazee.io/,Zurich,Switzerland,Stephanie Lüpold,,,,
WWR,Old,AmaZix,AmaZixOfficial,twitter.com/,twitter.com/AmaZixOfficial,1-10,Community Management for Crypto Projects,https://www.amazix.com/,,Denmark,Jonas Sevel Karlberg,,,,http://www.amazix.com/
,New,Amazowl,,,https://twitter.com/amazowl,1-10,Global Amazon Expertise.,https://www.amazowl.com/,Dublin,Ireland,Mark Greene,,,,
Lukasz,Old,Ameego,myameego,twitter.com/,twitter.com/myameego,1-10,Restaurant scheduling software.,http://myameego.com/,"Winnipeg, Manitoba ",Canada,Jason Wagenaar,,,,http://info.myameego.com/about-ameego
,New,Angie Hospitality,,,twitter.com/AngieHospitali1,1-10,"Building the world’s first cloud-powered, interactive guest room assistant, created just for hotels.",https://angie.ai/,"San Jose, CA",USA,Ted Helvey,,,N/A,
,Old,Animalz,,,N/A,11-50,"Content marketing solutions to SaaS, tech and crypto companies",https://www.animalz.co,"New York, NY",USA,Walter Chen,,,https://twitter.com/smalter,
,,Andela,,,twitter.com/Andela,51-200,Distributed engineering teams with Africa’s most talented software developers,https://andela.com/,Nairobi,Kenya,Jeremy Johnson,,,,
Legacy,Old,Antavo,antavopromotion,twitter.com/,twitter.com/antavopromotion,11-50,Antavo is a complete Software-as-a-Service solution to launch point-based loyalty programs,https://antavo.com/,London,UK,Attila Kecsmar,AttilaKecsmar,twitter.com/,twitter.com/AttilaKecsmar,https://antavo.com/job/
,Old,Apartment Therapy,,,twitter.com/AptTherapy,51-200,"Saving the world, one room at a time.",https://www.apartmenttherapymedia.com,"New York, NY",USA,Maxwell Ryan,,,,
,New,Apitalks,,,N/A,1-10,Get your data out of the building,https://www.apitalks.com/,Praha,Czech Republic,Bohuslav Dohnal,,,,
